Seed,Fold,Baseline,Topk,Explainer,Lambda_1,Lambda_2,Accuracy,Comprehensiveness,Cross Entropy,Log Odds,Sufficiency
42,1,Zeros,0.2,occlusion,1.0,1.0,0.9743,0.003733,0.119,-0.0299,-0.005021
42,1,Zeros,0.3,occlusion,1.0,1.0,0.9746,0.001793,0.1226,-0.03349,-0.005147
42,1,Zeros,0.4,occlusion,1.0,1.0,0.9743,0.0004566,0.1258,-0.0367,-0.004458
42,1,Zeros,0.5,occlusion,1.0,1.0,0.9743,-0.001166,0.1275,-0.03836,-0.003327
42,1,Zeros,0.6,occlusion,1.0,1.0,0.9743,-0.00225,0.1285,-0.03938,-0.002966
42,1,Average,0.1,retain,1.0,1.0,0.992,-0.001729,0.08902,0.0001206,0.007155
42,1,Average,0.2,retain,1.0,1.0,0.9904,-0.001855,0.08957,-0.0004324,0.007176
42,1,Average,0.3,retain,1.0,1.0,0.988,-0.001347,0.09066,-0.001519,0.006351
42,1,Average,0.4,retain,1.0,1.0,0.9878,-0.0011,0.09123,-0.002095,0.005843
42,1,Average,0.5,retain,1.0,1.0,0.9867,-0.0001899,0.09274,-0.003598,0.004895
42,1,Average,0.6,retain,1.0,1.0,0.9878,0.0006042,0.09367,-0.004534,0.003782
42,1,Zeros,0.1,retain,1.0,1.0,0.9783,0.0003889,0.1047,-0.01558,0.003614
42,1,Zeros,0.2,retain,1.0,1.0,0.975,-0.005202,0.1098,-0.02062,0.004879
42,1,Zeros,0.3,retain,1.0,1.0,0.9746,-0.007117,0.1158,-0.02669,0.005135
42,1,Zeros,0.4,retain,1.0,1.0,0.9746,-0.007055,0.12,-0.03084,0.003247
42,1,Zeros,0.5,retain,1.0,1.0,0.9746,-0.006809,0.1218,-0.03266,0.002019
42,1,Zeros,0.6,retain,1.0,1.0,0.9746,-0.006183,0.1248,-0.03565,0.001063
42,2,Average,0.1,deep_lift,1.0,1.0,0.9904,0.0005299,0.08969,-0.001616,0.002368
42,2,Average,0.2,deep_lift,1.0,1.0,0.9883,0.0002247,0.08987,-0.00179,0.002907
42,2,Average,0.3,deep_lift,1.0,1.0,0.9867,0.0001691,0.09046,-0.00238,0.003138
42,2,Average,0.4,deep_lift,1.0,1.0,0.985,0.0006449,0.0917,-0.00362,0.002849
42,2,Average,0.5,deep_lift,1.0,1.0,0.9846,0.001268,0.09364,-0.005568,0.00229
42,2,Average,0.6,deep_lift,1.0,1.0,0.9837,0.001736,0.09488,-0.006807,0.001813
42,2,Zeros,0.1,deep_lift,1.0,1.0,0.9806,0.006179,0.1049,-0.01684,-0.005072
42,2,Zeros,0.2,deep_lift,1.0,1.0,0.978,-0.001636,0.104,-0.01589,-0.002501
42,2,Zeros,0.3,deep_lift,1.0,1.0,0.9767,-0.006453,0.1025,-0.01441,-0.0001398
42,2,Zeros,0.4,deep_lift,1.0,1.0,0.9763,-0.006879,0.1067,-0.01867,-0.001307
42,2,Zeros,0.5,deep_lift,1.0,1.0,0.9763,-0.005605,0.1126,-0.02457,-0.002848
42,2,Zeros,0.6,deep_lift,1.0,1.0,0.9761,-0.005286,0.1163,-0.02827,-0.002819
42,2,Average,0.1,dyna_mask,1.0,1.0,0.9911,0.00404,0.09362,-0.005543,-0.0001331
42,2,Average,0.2,dyna_mask,1.0,1.0,0.9902,0.004546,0.09467,-0.006592,-0.000272
42,2,Average,0.3,dyna_mask,1.0,1.0,0.9904,0.004367,0.09461,-0.006529,-7.663e-05
42,2,Average,0.4,dyna_mask,1.0,1.0,0.9889,0.004556,0.0951,-0.007028,9.478e-05
42,2,Average,0.5,dyna_mask,1.0,1.0,0.988,0.004241,0.09494,-0.006865,0.0001182
42,2,Average,0.6,dyna_mask,1.0,1.0,0.988,0.004149,0.09494,-0.006868,0.0004858
42,2,Zeros,0.1,dyna_mask,1.0,1.0,0.9824,0.008647,0.1031,-0.01506,-0.002121
42,2,Zeros,0.2,dyna_mask,1.0,1.0,0.9796,0.004897,0.1026,-0.01456,0.002142
42,2,Zeros,0.3,dyna_mask,1.0,1.0,0.9787,0.00275,0.1029,-0.01487,0.005348
42,2,Zeros,0.4,dyna_mask,1.0,1.0,0.9739,0.01803,0.1239,-0.03585,0.00826
42,2,Zeros,0.5,dyna_mask,1.0,1.0,0.975,0.01999,0.1299,-0.04186,0.01035
42,2,Zeros,0.6,dyna_mask,1.0,1.0,0.9752,0.01696,0.1272,-0.03909,0.01207
42,2,Average,0.1,extremal_mask,1.0,1.0,0.9863,0.01051,0.1055,-0.01743,-0.007104
42,2,Average,0.2,extremal_mask,1.0,1.0,0.9859,0.01102,0.1065,-0.01838,-0.007638
42,2,Average,0.3,extremal_mask,1.0,1.0,0.9846,0.01121,0.1067,-0.01859,-0.007651
42,2,Average,0.4,extremal_mask,1.0,1.0,0.9854,0.01162,0.1073,-0.0192,-0.008082
42,2,Average,0.5,extremal_mask,1.0,1.0,0.9846,0.01101,0.1065,-0.0184,-0.007978
42,2,Average,0.6,extremal_mask,1.0,1.0,0.9826,0.00865,0.1041,-0.01606,-0.006903
42,2,Zeros,0.1,extremal_mask,1.0,1.0,0.9561,0.08117,0.2431,-0.155,-0.05861
42,2,Zeros,0.2,extremal_mask,1.0,1.0,0.9609,0.0844,0.2534,-0.1654,-0.05823
42,2,Zeros,0.3,extremal_mask,1.0,1.0,0.9626,0.08854,0.2635,-0.1754,-0.05655
