Seed,Fold,Baseline,Topk,Explainer,Lambda_1,Lambda_2,Accuracy,Comprehensiveness,Cross Entropy,Log Odds,Sufficiency
42,2,Zeros,0.3,extremal_mask,1.0,1.0,0.9626,0.08854,0.2635,-0.1754,-0.05655
42,2,Zeros,0.4,extremal_mask,1.0,1.0,0.965,0.09255,0.2714,-0.1834,-0.05517
42,2,Zeros,0.5,extremal_mask,1.0,1.0,0.9678,0.09191,0.2718,-0.1837,-0.05266
42,2,Zeros,0.6,extremal_mask,1.0,1.0,0.9696,0.07246,0.2376,-0.1495,-0.04721
42,2,Average,0.1,integrated_gradients,1.0,1.0,0.9904,0.001056,0.09067,-0.00259,0.001794
42,2,Average,0.2,integrated_gradients,1.0,1.0,0.9878,0.0007439,0.09156,-0.003487,0.002232
42,2,Average,0.3,integrated_gradients,1.0,1.0,0.9861,0.0009983,0.09288,-0.004807,0.002359
42,2,Average,0.4,integrated_gradients,1.0,1.0,0.9867,0.001024,0.09327,-0.005189,0.002353
42,2,Average,0.5,integrated_gradients,1.0,1.0,0.9848,0.001267,0.09389,-0.005812,0.002145
42,2,Average,0.6,integrated_gradients,1.0,1.0,0.9835,0.001845,0.09506,-0.006983,0.001626
42,2,Zeros,0.1,integrated_gradients,1.0,1.0,0.9787,0.007774,0.1083,-0.02025,-0.005867
42,2,Zeros,0.2,integrated_gradients,1.0,1.0,0.9774,-0.0007907,0.1092,-0.02115,-0.002452
42,2,Zeros,0.3,integrated_gradients,1.0,1.0,0.9763,-0.00532,0.1105,-0.02247,-0.0004145
42,2,Zeros,0.4,integrated_gradients,1.0,1.0,0.9761,-0.006272,0.1133,-0.02524,-0.001407
42,2,Zeros,0.5,integrated_gradients,1.0,1.0,0.9761,-0.005375,0.1179,-0.02982,-0.002673
42,2,Zeros,0.6,integrated_gradients,1.0,1.0,0.9761,-0.00523,0.1205,-0.03242,-0.00256
42,2,Average,0.1,augmented_occlusion,1.0,1.0,0.9893,0.0004236,0.09054,-0.002459,0.002917
42,2,Average,0.2,augmented_occlusion,1.0,1.0,0.9878,0.0005811,0.09137,-0.003294,0.002576
42,2,Average,0.3,augmented_occlusion,1.0,1.0,0.9861,0.001392,0.09294,-0.004868,0.001945
42,2,Average,0.4,augmented_occlusion,1.0,1.0,0.9859,0.002145,0.09448,-0.0064,0.00123
42,2,Average,0.5,augmented_occlusion,1.0,1.0,0.9852,0.0028,0.09585,-0.007777,0.0006887
42,2,Average,0.6,augmented_occlusion,1.0,1.0,0.9848,0.00307,0.0965,-0.00842,0.0005666
42,2,Zeros,0.1,augmented_occlusion,1.0,1.0,0.9772,0.007645,0.11,-0.02197,-0.002854
42,2,Zeros,0.2,augmented_occlusion,1.0,1.0,0.9767,0.0002088,0.1083,-0.02023,-0.0005253
42,2,Zeros,0.3,augmented_occlusion,1.0,1.0,0.9756,-0.002614,0.1112,-0.02315,0.0002074
42,2,Zeros,0.4,augmented_occlusion,1.0,1.0,0.9759,-0.004741,0.1124,-0.02433,3.743e-05
42,2,Zeros,0.5,augmented_occlusion,1.0,1.0,0.9761,-0.006132,0.1144,-0.02629,-4.817e-05
42,2,Zeros,0.6,augmented_occlusion,1.0,1.0,0.9761,-0.007132,0.1154,-0.02736,0.0004739
42,2,Average,0.1,occlusion,1.0,1.0,0.9898,-0.001389,0.08853,-0.0004531,0.004982
42,2,Average,0.2,occlusion,1.0,1.0,0.9883,-0.001431,0.08931,-0.001237,0.004945
42,2,Average,0.3,occlusion,1.0,1.0,0.9872,-0.001229,0.09008,-0.002,0.0047
42,2,Average,0.4,occlusion,1.0,1.0,0.9867,-0.0004193,0.09153,-0.003449,0.004002
42,2,Average,0.5,occlusion,1.0,1.0,0.9861,0.0003772,0.09306,-0.004985,0.003165
42,2,Average,0.6,occlusion,1.0,1.0,0.9854,0.001082,0.09423,-0.00615,0.002515
42,2,Zeros,0.1,occlusion,1.0,1.0,0.9772,0.005747,0.1096,-0.02148,-0.002629
42,2,Zeros,0.2,occlusion,1.0,1.0,0.9761,-0.001204,0.111,-0.02295,-0.001521
42,2,Zeros,0.3,occlusion,1.0,1.0,0.9759,-0.004283,0.1118,-0.02369,-0.001371
42,2,Zeros,0.4,occlusion,1.0,1.0,0.9761,-0.004963,0.1164,-0.02832,-0.001806
42,2,Zeros,0.5,occlusion,1.0,1.0,0.9761,-0.005093,0.1198,-0.03172,-0.002106
42,2,Zeros,0.6,occlusion,1.0,1.0,0.9761,-0.005066,0.1208,-0.03276,-0.001819
42,2,Average,0.1,retain,1.0,1.0,0.9896,-0.002502,0.08756,0.0005123,0.006943
42,2,Average,0.2,retain,1.0,1.0,0.9872,-0.002982,0.08774,0.0003375,0.007549
42,2,Average,0.3,retain,1.0,1.0,0.9859,-0.002743,0.0886,-0.0005233,0.007076
42,2,Average,0.4,retain,1.0,1.0,0.9854,-0.00247,0.08926,-0.001179,0.006405
42,2,Average,0.5,retain,1.0,1.0,0.9846,-0.001776,0.09056,-0.002482,0.005602
42,2,Average,0.6,retain,1.0,1.0,0.9848,-0.001045,0.09178,-0.003701,0.004551
42,2,Zeros,0.1,retain,1.0,1.0,0.9772,-0.001581,0.1028,-0.01473,-1.101e-06
42,2,Zeros,0.2,retain,1.0,1.0,0.9761,-0.007039,0.1108,-0.02275,0.001668
42,2,Zeros,0.3,retain,1.0,1.0,0.9761,-0.009396,0.1167,-0.02861,0.00131
42,2,Zeros,0.4,retain,1.0,1.0,0.9761,-0.01108,0.1159,-0.02782,0.002463
42,2,Zeros,0.5,retain,1.0,1.0,0.9761,-0.01123,0.1161,-0.02807,0.002386
42,2,Zeros,0.6,retain,1.0,1.0,0.9761,-0.01032,0.118,-0.02997,0.001114
